sport,name,country,division
basketball,acb,spain,1
basketball,b-league,japan,1
basketball,basket-league,greece,1
basketball,basketligaen,denmark,1
basketball,basketligan,sweden,1
basketball,bbl,germany,1
basketball,bbl,united-kingdom,1
basketball,cba,china,1
basketball,divizia-a,romania,1
basketball,energa-basket-liga,poland,1
basketball,extraliga,slovakia,1
basketball,fbu-superleague,ukraine,1
basketball,ibl,indonesia,1
basketball,kbl,south-korea,1
basketball,korisliiga,finland,1
basketball,lega-a,italy,1
basketball,liga-a,argentina,1
basketball,liga-uruguaya,uruguay,1
basketball,lnb,france,1
basketball,lpb,portugal,1
basketball,nb-i-a,hungary,1
basketball,nba,usa,1
basketball,nbb,brazil,1
basketball,nbl,australia,1
basketball,nbl,bulgaria,1
basketball,nbl,czech-republic,1
basketball,premier-league,belarus,1
basketball,premier-league,saudi-arabia,1
basketball,pro-basketball-league,belgium,1
basketball,sb-league,switzerland,1
basketball,super-league,israel,1
basketball,superleague,georgia,1
basketball,superliga,austria,1
basketball,tbl,turkey,1
basketball,vtb-united-league,russia,1
handball,1-nlb-lig,slovenia,1
handball,a-rhg,bulgaria,1
handball,a1,greece,1
handball,andebol-1,portugal,1
handball,arkus-liga,serbia,1
handball,axa-league,luxembourg,1
handball,bundesliga,germany,1
handball,division-1,israel,1
handball,eredivisie,netherlands,1
handball,extraliga,czech-republic,1
handball,extraliga,slovakia,1
handball,handbollsligan,sweden,1
handball,herre-handbold-ligaen,denmark,1
handball,hla,austria,1
handball,lietuvos-lyga,lithuania,1
handball,liga-asobal,spain,1
handball,liga-nationala-women,romania,1
handball,liga-nationala,romania,1
handball,nb-i,hungary,1
handball,nla,switzerland,1
handball,premijer-liga,croatia,1
handball,rema-1000-ligaen,norway,1
handball,serie-a,italy,1
handball,starligue,france,1
handball,superleague,north-macedonia,1
handball,superleague,russia,1
handball,superleague,ukraine,1
handball,superlig,turkey,1
handball,superliga,poland,1
handball,synottip-virsliga,latvia,1
soccer,1-liga,czech-republic,1
soccer,2-bundesliga,germany,2
soccer,2-liga,austria,2
soccer,allsvenskan,sweden,1
soccer,botola-pro,morocco,1
soccer,brisbane-premier-league,australia,1
soccer,bundesliga,germany,1
soccer,canadian-premier-league,canada,1
soccer,cymru-premier,wales,1
soccer,division-2,czech-republic,2
soccer,ekstraklasa,poland,1
soccer,eliteserien,norway,1
soccer,eredivisie,netherlands,1
soccer,first-division,albania,2
soccer,fortuna-liga,slovakia,1
soccer,girabola,angola,1
soccer,hnl,croatia,1
soccer,i-lyga,lithuania,2
soccer,j1-league,japan,1
soccer,j2-league,japan,2
soccer,jia-league,china,2
soccer,k-league-1,south-korea,1
soccer,laliga2,spain,2
soccer,laliga,spain,1
soccer,league-one,england,2
soccer,league-two,england,3
soccer,lfa-first-division,liberia,1
soccer,liga-1,peru,1
soccer,liga-1,romania,1
soccer,liga-mx,mexico,1
soccer,liga-pro,ecuador,1
soccer,liga-profesional,argentina,1
soccer,ligat-ha-al,israel,1
soccer,ligue-1,algeria,1
soccer,ligue-1,dr-congo,1
soccer,ligue-1,france,1
soccer,ligue-1,republic-of-the-congo,1
soccer,ligue-1,senegal,1
soccer,ligue-2,algeria,2
soccer,mls,usa,1
soccer,national-division,luxembourg,1
soccer,npfl,nigeria,1
soccer,otp-bank-liga,hungary,1
soccer,parva-liga,bulgaria,1
soccer,persian-gulf-pro-league,iran,1
soccer,premier-league,azerbaijan,1
soccer,premier-league,bahrain,1
soccer,premier-league,bangladesh,1
soccer,premier-league,bosnia-and-herzegovina,2
soccer,premier-league,botswana,1
soccer,premier-league,egypt,1
soccer,premier-league,england,1
soccer,premier-league,ethiopia,1
soccer,premier-league,ghana,1
soccer,premier-league,jordan,1
soccer,premier-league,russia,1
soccer,premier-league,south-africa,1
soccer,premier-league,ukraine,1
soccer,premiership,scotland,1
soccer,primera-a,colombia,1
soccer,primera-b,colombia,2
soccer,primera-division,paraguay,1
soccer,promotion-league,switzerland,3
soccer,qsl,qatar,1
soccer,saudi-professional-league,saudi-arabia,1
soccer,segunda-division,chile,3
soccer,segunda-division,uruguay,2
soccer,serie-a,brazil,1
soccer,serie-a,italy,1
soccer,serie-b,brazil,2
soccer,serie-b,italy,2
soccer,super-league,greece,1
soccer,super-league,iraq,1
soccer,super-league,switzerland,1
soccer,super-lig,turkey,1
soccer,super-liga,serbia,1
soccer,superliga,albania,1
soccer,superliga,denmark,1
soccer,uae-league,united-arab-emirates,1
soccer,vysshaya-liga,belarus,1
volleyball,1-bundesliga,germany,1
volleyball,1-dol,slovenia,1
volleyball,a1,greece,1
volleyball,avl,austria,1
volleyball,division-a,belarus,1
volleyball,divizia-a1,romania,1
volleyball,eliteserien,norway,1
volleyball,elitserien,sweden,1
volleyball,eredivisie,netherlands,1
volleyball,euromillions-league,belgium,1
volleyball,extraliga,czech-republic,1
volleyball,extraliga,hungary,1
volleyball,extraliga,slovakia,1
volleyball,i-liga,poland,2
volleyball,liga,serbia,1
volleyball,ligue-a,france,1
volleyball,lva,argentina,1
volleyball,nla,switzerland,1
volleyball,premier-league,israel,1
volleyball,super-league,england,1
volleyball,super-league,iran,1
volleyball,super-league,morocco,1
volleyball,superleague,russia,1
volleyball,superleague,ukraine,1
volleyball,superlega,italy,1
volleyball,superliga,brazil,1
volleyball,superliga,croatia,1
volleyball,superliga,spain,1
volleyball,v-league,japan,1
volleyball,volleyligaen,denmark,1
